"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LOC_Os12g03480",71.2243067730092,-1.70474509232904,0.180114285492878,-9.46479668541585,2.94132703897818e-21,4.09886178410939e-19
"LOC_Os08g41830",1065.07992793617,-1.91993749792735,0.203403365696432,-9.43906454720492,3.76122187167742e-21,5.16873976398805e-19
"LOC_Os08g02040",222.571620944057,1.18186313303697,0.125211915193072,9.4389030885326,3.76702143062367e-21,5.16873976398805e-19
"LOC_Os01g48680",755.66769660172,-1.97682910934594,0.209801110098495,-9.42239585108906,4.40910470494526e-21,6.01887783089364e-19
"LOC_Os08g32540",42.325439812954,-3.16817057921643,0.336368047085028,-9.41876199797173,4.56437753944484e-21,6.19921245915665e-19
"LOC_Os09g39910",1913.43821667588,1.54527694133268,0.164445569414992,9.39689008849512,5.61995885080988e-21,7.59432419253885e-19
"LOC_Os08g30820",734.818410544156,1.5995547603056,0.170610481333485,9.37547768345494,6.8863232746709e-21,9.21252327685473e-19
"LOC_Os03g17920",60.4767665597205,-1.96031025470098,0.20925579448425,-9.36800942374158,7.39132950384072e-21,9.83892598033643e-19
"LOC_Os08g43170",731.280291723035,-2.06334192143049,0.22117766088995,-9.32888933325477,1.06986093998913e-20,1.41708907476975e-18
"LOC_Os05g14270",405.446266983839,-2.88759247460088,0.309988925923072,-9.31514719760499,1.21783555801869e-20,1.58948332635844e-18
"LOC_Os03g01016",1299.15891640622,1.45093402378614,0.155851290532608,9.30973377780637,1.28153159041962e-20,1.66449802103239e-18
"LOC_Os02g17860",444.237823762942,1.80780486318919,0.194211573073885,9.30843015468207,1.29735610751428e-20,1.6726707490296e-18
"LOC_Os01g02720",2830.94127216633,1.29095274655259,0.138690028943035,9.30818715945923,1.30032708849662e-20,1.6726707490296e-18
"LOC_Os09g33530",555.925046532388,1.90367587622387,0.204824818667363,9.29416605179795,1.48364678725605e-20,1.89030730665824e-18
"LOC_Os09g04800",629.864617672988,-1.38720966199537,0.149334507819903,-9.28927735623127,1.55339382038951e-20,1.96979170892615e-18
"LOC_Os10g42780",285.671790960828,-2.99520371264547,0.322613020482923,-9.28419971445019,1.62926923437102e-20,2.05626073749202e-18
"LOC_Os04g02310",62.3712030583004,6.31423976445693,0.68089977843447,9.27337614791809,1.8034509244767e-20,2.2654053021267e-18
"LOC_Os11g16470",167.357362309521,-1.04664124124782,0.112998426729753,-9.26244082805655,1.99811346388003e-20,2.49820204857822e-18
"LOC_Os02g35880",445.58827065166,1.33074629996507,0.144047078536419,9.23827344147505,2.50506640000362e-20,3.1174677487673e-18
"LOC_Os02g12900",166.807866108783,-1.78768476549704,0.193536241531989,-9.23695092632853,2.53621323269251e-20,3.14161672471856e-18
"LOC_Os03g18400",168.16485279524,1.65727306658956,0.179778303632296,9.21842643470044,3.01491985491364e-20,3.70033007514079e-18
"LOC_Os05g08110",99.4025312838053,1.80702583263432,0.196436250062402,9.1990446369256,3.61146271549345e-20,4.4122509778878e-18
"LOC_Os06g45140",218.050540516386,-3.00624588570938,0.327666138055476,-9.1747224890245,4.52739078914256e-20,5.50613036155902e-18
"LOC_Os09g28530",231.062781396282,2.01400470212504,0.219596015783187,9.17140821039998,4.66879529183797e-20,5.65241116870664e-18
"LOC_Os03g20560",375.514454508176,1.27219732046643,0.138720843215696,9.17091686422563,4.69012698353756e-20,5.65265935006896e-18
"LOC_Os05g47510",415.623425435751,1.46172448831906,0.159499517881277,9.16444455592078,4.98027856187287e-20,5.97544095073858e-18
"LOC_Os01g09300",1172.43139597969,1.42017665954655,0.155432048414576,9.13696161140837,6.42315654441354e-20,7.57083596926557e-18
"LOC_Os03g50070",1209.64349835956,-1.35679055383655,0.148629781078957,-9.12865876533705,6.93531527166526e-20,8.13865330739805e-18
